part_num,Distrubuter,Distributer #,description,Manufacturer Part #,Inventory,Inventory Date,Alternative distributer #s
CAPP-001,Digi-Key,1276-1119-1-ND ,CAP CER 10UF 6.3V X5R 0603,CL10A106MQ8NNNC,31,18-09-2017,445-7492-1-ND / 490-3896-1-ND / 445-4112-1-ND / 1276-1038-1-ND / 1276-1870-1-ND / 1276-1871-1-ND / 1276-1872-1-ND / 478-5318-1-ND
CAPP-002,Digi-Key,1276-1104-1-ND,CAP CER 0.022UF 50V 10% X7R 0603,CL10B223KB8NNNC,100,18-09-2017,1276-2003-1-ND / 1276-1996-1-ND / 490-13364-1-ND / 478-7019-1-ND / 478-3722-1-ND
CAPP-003,Digi-Key,1276-6504-1-ND,CAP CER 22UF 10V X5R 0603,CL10A226MPCNUBE,96,18-09-2017,
CAPP-004,Digi-Key,490-3897-1-ND,CAP CER 1UF 25V X5R 0603,GRM188R61E105KA12D,258,18-09-2017,587-1248-1-ND / 445-7470-1-ND / 445-5146-1-ND
CAPP-005,Digi-Key,490-1524-1-ND,CAP CER 0.1UF 25V X7R 0603,GRM188R71E104KA01D,1726,18-09-2017,
CAPP-006,Digi-Key,1276-6684-1-ND,CAP CER 4.7UF 10V X5R 0603,CL10A475MP5LNNC,100,18-09-2017,
CAPP-007,Digi-Key,587-2909-1-ND,CAP CER 2.2UF 25V 10% X5R 0603,TMK107ABJ225KA-T,99,18-09-2017,
CAPP-008,Digi-Key,732-7775-1-ND,CAP CER 15PF 25V C0G/NP0 0603,8.85E+11,100,18-09-2017,
CAPP-009,Digi-Key,732-7773-1-ND,CAP CER 6.8PF 25V C0G/NP0 0603,8.85E+11,100,18-09-2017,
CAPP-010,Digi-Key,490-1512-1-ND,CAP CER 10000PF 50V X7R 0603,GRM188R71H103KA01D,100,18-09-2017,399-6350-1-ND / 720-1376-1-ND / 720-1375-1-ND / 720-1376-2-ND / 399-10040-1-ND
CHIP-001,Digi-Key,497-16632-ND,IC MCU 32BIT 1MB FLASH 144LQFP,STM32F765ZGT6,10,18-09-2017,
CHIP-002,Digi-Key,NC7SZ125P5XCT-ND,IC BUFF TRI-ST UHS N-INV SC70-5,NC7SZ125P5X,0,18-09-2017,
CHIP-003,Mouser,511-STM32F030RCT6,"ARM Microcontrollers - MCU Entry-level ARM Cortex-M0 Value line MCU with up to 256 Kbytes Flash, 48 MHz CPU",STM32F030RCT6,10,18-09-2017,
CHIP-004,Digi-Key,NLAS4599DFT2GOSCT-ND,IC SWITCH SPDT SC88,NLAS4599DFT2G,0,18-09-2017,
CONN-001,Digi-Key,WM18886-ND,SPOX-2 Male,22035025,24,18-09-2017,
CONN-002,Digi-Key,WM18887-ND,SPOX-3 Male,22-03-5035,13,18-09-2017,
CONN-003,Digi-Key,WM18888-ND,SPOX-4 Male,22035045,6,18-09-2017,
CONN-004,Digi-Key,WM18889-ND,SPOX-5 Male,22035055,14,18-09-2017,
